Region,2016,2017,2018,2019,2020
Albury,52171,52989,53705,54344,55055
Armidale Regional,29310,29629,29705,29812,29704
Ballina,42993,43480,44172,44622,45217
Balranald,2330,2343,2338,2338,2306
Bathurst Regional,42244,42806,43163,43612,43996
Bayside,164534,170266,174218,178351,181472
Bega Valley,33941,34117,34315,34473,34727
Bellingen,12951,12951,12953,12993,13141
Berrigan,8609,8667,8700,8750,8784
Blacktown,348030,357839,366078,374372,382831
Bland,6024,5988,5979,5971,5937
Blayney,7343,7350,7334,7378,7382
Blue Mountains,78835,79012,79191,79108,79195
Bogan,2764,2666,2618,2580,2529
Bourke,2762,2697,2626,2590,2625
Brewarrina,1710,1671,1653,1611,1553
Broken Hill,18114,17883,17715,17477,17269
Burwood,38536,39348,39864,40596,40866
Byron,33399,34011,34545,35075,35773
Cabonne,13577,13612,13667,13632,13677
Camden,80264,87146,94029,101420,107806
Campbelltown,161566,164649,167930,170912,174078
Canada Bay,92534,94240,95064,96017,96550
Canterbury-Bankstown,361862,368409,373486,377836,380406
Carrathool,2793,2798,2799,2798,2796
Central Coast,336611,339394,341693,343922,345809
Central Darling,1881,1847,1835,1839,1829
Cessnock,56720,57561,59029,59978,61256
Clarence Valley,51622,51596,51598,51656,51730
Cobar,4687,4647,4628,4572,4417
Coffs Harbour,74670,75552,76480,77265,77648
Coolamon,4390,4392,4363,4341,4291
Coonamble,4051,4036,4008,3957,3907
Cootamundra-Gundagai,11291,11249,11250,11233,11225
Cowra,12659,12700,12753,12741,12730
Cumberland,225691,231725,236599,241453,242674
Dubbo Regional,51404,52133,53167,53710,54044
Dungog,9101,9193,9336,9422,9664
Edward River,8991,8955,8984,9083,9083
Eurobodalla,37919,38097,38253,38469,38952
Fairfield,205675,208636,210417,211654,210825
Federation,12445,12450,12450,12435,12598
Forbes,9817,9865,9898,9904,9920
Georges River,153161,156435,158283,159431,160272
Gilgandra,4298,4249,4221,4239,4229
Glen Innes Severn,8934,8923,8900,8869,8873
Goulburn Mulwaree,30261,30575,30823,31127,31554
Greater Hume,10519,10608,10675,10763,10841
Griffith,26356,26608,26849,27022,27155
Gunnedah,12491,12587,12643,12680,12690
Gwydir,5326,5318,5344,5352,5299
Hawkesbury,66346,66669,67007,67288,67749
Hay,2984,2981,2975,2948,2943
Hilltops,18756,18765,18759,18701,18617
Hornsby,147385,149215,150632,152004,152419
Hunters Hill,14656,14754,14898,14975,14962
Inner West,191194,194744,197836,200720,201880
Inverell,17815,17815,17801,17849,17780
Junee,6414,6516,6625,6683,6676
Kempsey,29431,29550,29633,29742,29921
Kiama,22110,22461,22987,23383,23685
Ku-ring-gai,122472,124515,125965,127079,127603
Kyogle,9114,8982,8862,8796,8788
Lachlan,6444,6317,6230,6160,6089
Lake Macquarie,202332,203502,204694,205875,207775
Lane Cove,37694,38780,39442,40128,40534
Leeton,11407,11424,11425,11444,11343
Lismore,44122,43930,43803,43687,43667
Lithgow,21484,21577,21616,21603,21516
Liverpool,211983,217788,223025,227545,231296
Liverpool Plains,7847,7871,7886,7903,7853
Lockhart,3173,3240,3290,3285,3259
Maitland,79063,81049,83104,85155,87395
Mid-Coast,91801,92500,93209,93826,94395
Mid-Western Regional,24546,24827,25057,25248,25367
Moree Plains,13627,13461,13331,13260,13077
Mosman,30260,30588,30852,30960,30785
Murray River,11872,11963,12105,12118,12330
Murrumbidgee,3929,3955,3956,3917,3916
Muswellbrook,16462,16445,16364,16375,16355
Nambucca Valley,19580,19698,19752,19802,19861
Narrabri,13367,13287,13216,13134,13049
Narrandera,5949,5935,5924,5898,5858
Narromine,6617,6584,6559,6516,6460
Newcastle,160707,162477,163943,165541,167363
North Sydney,71809,73112,74087,74957,75094
Northern Beaches,265468,268870,271027,273409,274041
Oberon,5349,5387,5403,5411,5419
Orange,41210,41501,42000,42445,42503
Parkes,14924,14916,14877,14835,14728
Parramatta,234444,243557,251065,257094,260296
Penrith,201597,205220,208947,212944,216282
Port Macquarie-Hastings,80073,81441,83062,84515,85952
Port Stephens,71115,71772,72630,73472,74506
Queanbeyan-Palerang Regional,57790,58816,59889,61089,62239
Randwick,148922,152149,154145,155521,156619
Richmond Valley,23256,23331,23374,23462,23490
Ryde,121270,124619,127340,131186,133224
Shellharbour,70391,71036,72160,73225,74622
Shoalhaven,101942,103061,104268,105637,107191
Singleton,23576,23499,23397,23457,23380
Snowy Monaro Regional,20558,20665,20714,20793,20997
Snowy Valleys,14611,14559,14516,14476,14412
Strathfield,42415,43852,45110,46896,47767
Sutherland,226461,227695,228980,230579,232369
Sydney,222717,233177,240102,245942,248736
Tamworth Regional,60990,61615,62086,62531,62545
Temora,6210,6239,6267,6307,6274
Tenterfield,6697,6660,6631,6594,6470
The Hills,162975,167954,172339,177927,183791
Tweed,93742,94909,96018,96985,98382
Upper Hunter,14344,14274,14208,14178,14167
Upper Lachlan,7853,7914,7954,8059,8274
Uralla,6147,6106,6057,6011,5944
Wagga Wagga,63906,64312,64743,65249,65770
Walcha,3130,3146,3129,3134,3105
Walgett,6317,6197,6044,5952,5828
Warren,2797,2765,2740,2697,2716
Warrumbungle,9562,9456,9389,9277,9209
Waverley,72013,73386,74040,74222,74276
Weddin,3677,3643,3632,3613,3596
Wentworth,6932,6977,7033,7053,7090
Willoughby,77888,79757,80274,81109,81196
Wingecarribee,48998,49675,50452,51127,51760
Wollondilly,49854,51036,52171,53143,54005
Wollongong,210394,213281,215856,218076,219798
Woollahra,57744,58504,58908,59345,59431
Yass Valley,16568,16747,16936,17086,17321
Unincorporated,1112,1085,1079,1026,961
